miete,mieteqm,flaeche,bjahr,bad,kueche,lage,zh,bezv,bez
727.4,8.36092,87,1972,0,0,1,1,1345,13
789.2,10.11795,78,1929,0,0,1,1,1011,10
1033.9,13.78533,75,1967,1,1,1,1,2441,24
650.9,9.298572,70,1965,0,0,1,1,2441,24
720.2,12.63509,57,1972,0,0,1,1,2421,24
1373,18.30667,75,1984,0,0,1,1,2425,24
431,6.734375,64,1957.5,0,0,1,1,2422,24
1375.5,23.71552,58,1994.5,0,0,2,1,2146,21
748.8,13.13684,57,1918,0,0,2,1,2135,21
1576.2,12.81463,123,1918,0,0,2,1,563,6
832.7,13.87833,60,1956,0,0,1,1,552,6
1754.4,19.27912,91,1958,0,0,1,1,563,6
901.4,17.00755,53,1956,0,0,1,1,1711,17
1264.4,14.36818,88,1960,0,0,1,1,1822,18
466.6,8.332143,56,1929,0,0,1,1,1713,17
799.7,9.520238,84,1956,0,0,2,1,1373,14
1173,15.64,75,1994.5,1,0,1,1,1402,14
755.2,9.807793,77,1964,0,0,1,1,1406,14
666.8,8.65974,77,1961,0,0,1,1,521,5
922.7,17.08704,54,1990,0,0,1,1,1014,10
617.5,8.697183,71,1965,0,0,1,1,2441,24
932,10.96471,85,1957.5,0,0,1,1,1016,10
1181.9,20.37759,58,1994,0,0,2,1,1532,15
1101.8,13.11667,84,1973,0,0,1,1,1642,16
568.2,8.480597,67,1972,0,0,1,1,1402,14
1123.1,11.69896,96,1924,0,0,1,1,1013,10
709.5,13.13889,54,1979,0,1,1,1,1015,10
590.7,14.06429,42,1971,0,0,1,1,1012,10
909,12.625,72,1983,1,0,1,1,1013,10
849.1,13.91967,61,1983,0,0,1,1,1013,10
413.9,8.997826,46,1965,0,0,1,1,1957,20
818.3,22.73055,36,1985,0,0,3,1,1955,20
1104.5,18.10656,61,1983,0,0,1,1,1957,20
732.4,15.92174,46,1991,0,0,1,1,1934,19
539.6,19.27143,28,1965,0,0,1,1,1934,19
2019.1,19.22952,105,1991,1,0,2,1,1927,19
1618.8,23.12572,70,1987,0,0,3,1,1952,20
661.9,13.50816,49,1957.5,0,0,2,1,2026,20
1460,16.59091,88,1983,1,0,1,1,2024,20
827.1,10.21111,81,1962,0,0,1,1,734,7
1172.5,13.47701,87,1972,0,0,1,1,2024,20
889.6,16.17455,55,1969,0,0,1,1,2027,20
987.8,15.19692,65,1939,0,0,2,0,2032,20
981.9,11.97439,82,1941,0,0,1,1,734,7
474.6,9.8875,48,1929,0,0,1,1,163,2
483.1,12.38718,39,1957.5,0,0,2,1,153,2
899.2,10.21818,88,1957.5,0,0,2,1,162,2
659.4,11.56842,57,1964,0,0,2,1,522,5
808.4,11.88824,68,1918,0,0,2,1,532,5
687.5,11.65254,59,1958,0,0,2,1,1532,15
970.4,13.11351,74,1964,0,0,1,1,2011,20
816.3,11.66143,70,1939,0,0,1,1,2522,25
701.6,14.92766,47,1964,0,0,1,1,2011,20
555,11.1,50,1990,0,0,2,1,2526,25
527.1,7.75147,68,1955,0,0,1,1,2523,25
661.2,7.6,87,1969,0,0,1,1,2526,25
840.3,18.67333,45,1973,0,0,2,1,2135,21
571,11.19608,51,1971,0,0,1,1,2134,21
1259.9,15.74875,80,1969,0,1,2,1,2525,25
1138.8,14.78961,77,1936,0,0,1,1,2524,25
756.4,12.00635,63,1951,0,0,1,1,2512,25
466,6.657143,70,1965,0,0,1,1,2314,23
932.2,12.94722,72,1972,0,0,1,1,2314,23
1215.7,17.36714,70,1971,0,0,1,1,2411,24
616.9,11.21636,55,1971,0,0,1,1,1025,10
1301.3,15.86951,82,1996,0,1,1,1,2314,23
780.3,10.54459,74,1972,0,0,1,1,2314,23
976.9,11.76988,83,1972,0,0,1,1,2313,23
820.1,7.664486,107,1972,0,0,2,1,1957,20
1043.5,18.97273,55,1959,0,0,1,1,1927,19
778.6,11.97846,65,1957,0,0,1,1,1912,19
753.5,11.59231,65,1974,0,0,1,1,1013,10
1000.9,22.24222,45,1991,0,0,1,1,1013,10
1548.8,19.85641,78,1986,0,0,1,1,1013,10
621.1,21.41724,29,1974,0,0,1,1,1013,10
542.7,17.50645,31,1963,0,0,1,1,1013,10
750.6,8.935714,84,1962,0,0,2,1,2131,21
1216.6,14.83659,82,1995,0,0,2,1,2113,21
799.1,16.64792,48,1983,0,0,1,1,2113,21
995.3,18.77925,53,1993,0,1,1,1,2148,21
1014.8,15.37576,66,1971,0,0,2,1,2113,21
1172.3,18.90807,62,1984,0,0,1,1,2149,21
1175.6,17.28823,68,1971,1,0,1,1,2324,23
1164.6,18.48571,63,1929,0,0,2,1,2134,21
879.8,15.43509,57,1995,0,0,2,1,2113,21
1764.2,17.642,100,1994,0,0,1,1,2234,22
1698.5,19.98235,85,1995,1,0,1,1,2234,22
1034.2,19.51321,53,1971,0,0,1,1,2325,23
1435.5,14.355,100,1972,0,0,1,1,811,8
1635,18.16667,90,1991,0,1,1,1,2226,22
997.4,17.49825,57,1970,0,0,1,1,2011,20
713.6,11.50968,62,1962,0,0,1,1,2513,25
970.1,9.898979,98,1918,0,0,1,1,2135,21
1049.7,19.43889,54,1988,0,0,2,1,2515,25
747,13.10526,57,1996,0,0,1,1,2523,25
676.2,9.391666,72,1951,0,0,2,1,2522,25
611,13,47,1957.5,0,0,1,1,2524,25
1345.3,17.70132,76,1964,0,0,2,1,2526,25
814.8,7.544445,108,1956,0,0,2,1,2524,25
1093,12.85882,85,1957.5,0,0,2,1,371,4
658.6,12.66538,52,1957.5,0,0,2,1,372,4
1098.8,13.90886,79,1918,0,0,2,0,220,2
1024.2,12.96456,79,1957.5,0,0,2,1,360,4
405.8,13.52667,30,1956,0,0,2,1,360,4
1008.2,16.80333,60,1990,0,1,1,1,2314,23
827.9,16.558,50,1979,0,0,1,1,2412,24
1782.4,27.42154,65,1984,0,0,2,1,162,2
1041.7,14.46805,72,1958,0,0,2,1,153,2
956.8,14.49697,66,1957.5,0,0,2,0,113,1
810.7,8.717204,93,1955,1,0,1,1,1112,11
1160.2,16.57429,70,1964,0,0,1,1,1132,11
747.3,11.32273,66,1957.5,0,0,1,1,1132,11
821.3,8.131683,101,1959,0,0,1,1,1371,14
1967.6,14.05429,140,1957.5,0,0,3,1,1331,13
1136.1,15.148,75,1968,0,0,2,1,1333,13
1384.8,17.52911,79,1962,0,0,1,1,1371,14
1546.6,14.72952,105,1980,1,0,1,1,1313,13
1652.7,14.12564,117,1980,1,0,1,1,1313,13
747.3,13.83889,54,1995,0,0,2,1,2113,21
752.2,9.173171,82,1929,0,0,2,1,411,4
641,11.65455,55,1918,0,0,2,0,1243,12
762.5,10.73944,71,1957.5,0,0,2,0,1243,12
1373,14.0102,98,1957.5,0,0,2,1,1243,12
1206.1,16.75139,72,1918,0,0,2,1,113,1
673.4,10.86129,62,1929,0,0,2,1,1243,12
499.2,17.21379,29,1971,0,0,2,1,415,4
1074.3,17.61148,61,1969,0,0,1,1,724,7
425.2,4.523405,94,1929,0,1,1,1,2513,25
1272.5,17.19595,74,1948,0,1,3,1,925,9
541.5,13.88461,39,1968,0,0,1,1,1942,19
940.8,14.93333,63,1968,0,0,1,1,2515,25
258.6,5.621739,46,1954,0,0,1,0,2522,25
1222.6,13.89318,88,1971,0,0,2,1,925,9
926.1,21.04773,44,1957.5,0,0,1,1,916,9
598.5,8.801471,68,1929,0,0,2,1,926,9
938.1,11.30241,83,1957.5,0,0,2,1,411,4
599.9,7.893421,76,1918,0,0,2,0,426,4
2241.6,16.01143,140,1929,1,0,2,1,1243,12
995.3,9.953,100,1935,0,0,2,1,1243,12
479.5,15.98333,30,1959,0,0,2,1,425,4
936.9,9.369,100,1968,0,0,1,1,1641,16
496,11.02222,45,1936,0,0,1,1,1612,16
762,10.43836,73,1955,0,0,1,1,1401,14
487,9.54902,51,1954,0,0,1,1,1612,16
706,8.936708,79,1969,0,0,1,1,1622,16
955.5,14.26119,67,1973,1,0,2,1,1531,15
150.3,3.853846,39,1949,0,0,1,0,1613,16
649.7,11.60179,56,1969,0,0,2,1,1408,14
745.4,12.85172,58,1939,0,0,1,1,1612,16
813.2,18.07111,45,1996,0,0,2,1,1542,15
990.5,19.04808,52,1918,1,0,1,1,1812,18
579.6,14.13659,41,1994,0,0,1,1,1831,18
1060.3,10.0981,105,1973,0,0,1,1,1713,17
931.3,12.75753,73,1960,0,0,1,1,1822,18
1251.9,17.14931,73,1960,0,0,1,1,1822,18
898,8.163636,110,1954,1,0,1,1,1722,17
1005,9.136364,110,1960,0,0,1,1,1615,16
1151.7,17.99531,64,1961,0,0,1,1,1631,16
816.1,13.60167,60,1963,0,0,1,1,1615,16
582.2,19.40667,30,1972,0,0,1,1,1615,16
289.6,4.826667,60,1952,0,0,1,1,1714,17
1061.1,10.50594,101,1957,0,0,1,1,1721,17
848.5,10.60625,80,1929,0,0,1,1,1714,17
943.3,8.575455,110,1963,1,0,1,1,1722,17
771.4,15.428,50,1973,0,0,1,1,1615,16
837.6,10.21463,82,1954,0,0,1,1,1722,17
516,12.9,40,1970,0,0,1,1,1013,10
795.7,10.60933,75,1994.5,1,0,1,1,2412,24
352.4,4.050575,87,1966,0,0,1,1,2441,24
735.1,13.36545,55,1971,0,0,1,1,1012,10
1019,14.55714,70,1972,0,0,1,1,2421,24
1252.1,15.65125,80,1984,0,0,2,1,1615,16
671.1,9.452112,71,1957.5,0,0,1,1,1402,14
920,13.33333,69,1971,0,0,1,1,1642,16
1033.9,12.30833,84,1968,0,0,1,1,1641,16
1235.7,16.25921,76,1956,0,0,1,1,1542,15
935,10.16304,92,1955,1,0,1,1,1112,11
962.2,14.36119,67,1960,0,0,1,1,2421,24
454.9,5.68625,80,1958,0,0,1,1,2425,24
281.9,5.638,50,1957,0,0,2,1,1334,13
1221.8,17.45429,70,1939,0,0,2,1,734,7
1210.3,18.62,65,1972,0,0,1,1,2025,20
718.5,11.975,60,1972,0,0,1,1,1944,19
903.9,13.49104,67,1965,0,0,1,1,1944,19
1156.9,16.76667,69,1929,0,0,2,1,926,9
691.3,24.68929,28,1959,0,0,2,1,926,9
824.7,9.589535,86,1970,0,0,1,1,2121,21
738.3,11.71905,63,1962,0,0,1,1,1832,18
1069.6,17.25161,62,1994.5,1,0,2,1,2131,21
1545.3,17.56023,88,1982,1,0,1,1,2135,21
1017.8,11.30889,90,1994.5,0,0,2,1,2143,21
1468.9,22.59846,65,1956,0,0,1,1,2323,23
1162.9,15.50533,75,1972,0,0,1,1,1321,13
799.4,10.51842,76,1967,0,0,1,1,1342,13
1220.8,18.49697,66,1937,0,0,2,1,1243,12
1183.6,24.1551,49,1971,0,0,2,1,1262,13
967.1,12.08875,80,1918,0,0,3,0,1250,13
725.4,8.846342,82,1964,0,0,1,1,1342,13
599.1,10.15424,59,1940,0,0,1,1,2525,25
678.9,10.95,62,1954,0,0,2,1,2522,25
484.3,8.496491,57,1936,0,0,1,1,2524,25
551.1,19.00345,29,1983,0,0,1,1,2523,25
777.9,16.20625,48,1967,0,0,1,1,2522,25
885,17.7,50,1972,0,0,1,1,2524,25
657,7.3,90,1950,0,0,1,0,2512,25
465.7,20.24783,23,1972,0,0,2,1,1261,13
689.8,22.99333,30,1973,0,0,1,1,551,6
723.9,9.525001,76,1918,0,0,1,1,1713,17
712,27.38461,26,1957.5,0,0,1,1,611,6
493,9.86,50,1918,0,0,1,1,611,6
924.1,10.87176,85,1973,0,0,2,1,711,7
490.6,12.91053,38,1955,0,0,1,0,711,7
765.5,8.798851,87,1936,0,0,2,1,712,7
1737.4,20.44,85,1939,0,1,1,1,2024,20
393,12.28125,32,1973,0,0,1,1,611,6
861.3,17.94375,48,1962,0,0,1,1,711,7
557.1,14.28461,39,1958,0,0,1,1,1912,19
1054,13.175,80,1965,0,0,2,1,2025,20
695.4,16.55714,42,1957.5,0,0,2,1,1262,13
569.9,6.95,82,1918,0,0,1,0,1713,17
579.1,16.54571,35,1960,0,0,1,1,1822,18
1389.3,17.15185,81,1955,0,0,3,1,1373,14
1625,20.06173,81,1918,0,0,2,1,232,2
535.4,10.10189,53,1961,0,0,2,1,532,5
1366.6,16.07765,85,1918,0,0,2,1,231,2
1220.9,15.85584,77,1957.5,0,0,2,1,231,2
788.7,5.756934,137,1939,1,0,1,1,522,5
1053.8,18.81786,56,1918,0,0,2,1,231,2
854.4,10.68,80,1918,0,0,2,0,220,2
857.8,19.49545,44,1957.5,0,0,2,1,1407,14
337.6,5.193846,65,1956,0,0,2,1,1242,12
870.3,7.911818,110,1924,0,0,1,0,1236,12
1431.1,11.92583,120,1918,0,0,2,1,1242,12
641.2,20.0375,32,1983,0,0,1,1,2522,25
886,18.45833,48,1983,0,0,1,1,2114,21
1196.3,16.16622,74,1939,0,0,2,0,942,9
1114.7,15.06351,74,1973,0,0,1,1,2513,25
1432.3,14.323,100,1981,1,0,2,1,2142,21
762.6,12.50164,61,1918,0,0,1,0,422,4
988.2,10.7413,92,1939,0,0,1,1,1122,11
793.7,13.22833,60,1964,0,0,1,1,1121,11
554.4,14.58947,38,1959,0,0,2,1,941,9
1166,12.27368,95,1957.5,0,0,1,1,951,10
574.3,10.63519,54,1918,0,0,1,0,962,10
494.1,14.97273,33,1957.5,0,0,2,1,942,9
695.8,8.485366,82,1969,0,0,2,1,951,10
958.9,17.43455,55,1984,0,0,1,1,2512,25
724.7,18.1175,40,1958,0,0,2,1,941,9
650.3,6.992473,93,1929,0,0,1,0,2513,25
1208.1,15.89605,76,1918,0,0,1,1,962,10
818.5,12.99206,63,1950,0,0,1,1,2512,25
1158.2,13.62588,85,1997,0,0,1,1,1321,13
737.2,13.16429,56,1963,0,0,1,1,1342,13
662,11.41379,58,1972,0,0,1,1,1362,14
694.7,21.70938,32,1972,0,0,1,1,1321,13
745.4,24.84667,30,1968,0,0,3,1,927,9
417.9,14.925,28,1970,0,0,3,1,925,9
1079.7,17.13809,63,1991,0,0,1,1,2221,22
1277.1,21.285,60,1918,0,0,2,1,913,9
736.2,8.764286,84,1935,0,0,3,0,925,9
906.1,13.94,65,1957.5,0,0,1,1,2221,22
980.8,9.340952,105,1929,0,0,3,1,925,9
977.2,12.69091,77,1939,0,0,1,1,927,9
1298.3,15.27412,85,1996,0,1,1,1,2324,23
750.6,10.72286,70,1929,0,0,1,1,915,9
434.7,9.248937,47,1929,0,0,1,1,916,9
1000.7,12.50875,80,1972,0,0,2,1,914,9
1155.2,15.0026,77,1962,0,0,1,1,1714,17
1077.3,9.705406,111,1954,1,0,1,1,1722,17
740.6,12.76896,58,1962,0,0,1,1,1714,17
905.7,11.04512,82,1954,0,0,1,1,1722,17
945.7,12.95479,73,1973,0,0,1,1,1643,16
1002.3,14.31857,70,1973,0,0,1,1,1643,16
971.5,9.913265,98,1959,0,0,1,1,1714,17
591.6,9.101538,65,1961,0,0,1,1,1631,16
1661.1,15.82,105,1975,0,0,1,1,1644,16
947.5,15.03968,63,1982,0,0,1,1,1646,16
994.5,13.08553,76,1955,0,0,2,1,1842,18
556.8,7.048101,79,1939,0,0,1,1,816,8
672,6.165138,109,1924,0,0,1,0,816,8
1149.1,17.95469,64,1918,0,0,1,1,822,8
1551.4,19.88974,78,1972,0,1,2,1,532,5
907.1,8.246364,110,1957.5,0,0,3,0,911,9
751.2,12.31475,61,1969,0,0,1,1,1013,10
990.4,14.14857,70,1991,1,0,1,1,1013,10
585.3,7.31625,80,1918,0,0,1,0,1014,10
757.1,15.77292,48,1972,0,0,1,1,1013,10
730.9,8.806025,83,1929,1,0,1,0,1025,10
831.7,17.32708,48,1972,0,0,1,1,1013,10
978.8,14.18551,69,1957.5,0,0,1,1,1025,10
981.3,24.5325,40,1964,0,0,1,1,1362,14
1085.8,20.10741,54,1984,0,0,1,1,1361,14
1607.7,15.02523,107,1969,0,0,2,1,1312,13
1079.4,8.566667,126,1957,0,0,1,1,1112,11
1075.5,19.55455,55,1957.5,0,0,2,1,273,3
1706.7,13.33359,128,1929,1,0,1,1,273,3
694.7,7.805618,89,1980,1,0,2,1,943,9
794.5,7.222727,110,1918,0,0,2,1,813,8
546.6,19.52143,28,1969,0,0,2,1,563,6
464.7,13.27714,35,1918,0,0,1,1,1711,17
1169.9,21.66482,54,1918,0,0,2,1,284,3
459.6,8.671699,53,1957.5,0,0,1,1,282,3
504.9,5.314737,95,1918,0,0,1,1,816,8
1289.5,10.48374,123,1929,0,0,1,1,816,8
990.2,17.68214,56,1939,0,0,1,1,621,6
1905.5,20.71196,92,1994.5,1,0,2,1,1541,15
2603.2,19.72121,132,1995,0,0,2,1,1543,15
1119.4,19.3,58,1957.5,0,0,2,1,1544,15
1812.2,19.07579,95,1976,0,0,3,1,1952,20
2279.5,22.795,100,1967,1,0,3,1,1952,20
1428,17.85,80,1970,0,0,2,1,1931,19
566,20.21428,28,1992,0,0,2,1,1934,19
846.3,10.57875,80,1973,0,0,1,1,2024,20
1346.2,20.71077,65,1965,0,0,1,1,1944,19
1038.6,22.57826,46,1991,0,0,2,1,282,3
984.8,12.46582,79,1991,0,0,1,1,1213,12
829.8,14.81786,56,1988,0,0,1,1,1133,11
1023.1,13.64133,75,1972,0,0,1,1,1013,10
581.5,11.86735,49,1957.5,0,0,2,1,360,4
800.5,10.67333,75,1957.5,0,0,2,1,360,4
816.3,11.03108,74,1929,0,1,2,1,153,2
667,21.51613,31,1929,0,0,2,1,360,4
320.1,7.113334,45,1918,0,0,1,1,816,8
713.6,9.514667,75,1959,0,0,2,1,360,4
749.8,12.49667,60,1957.5,0,0,2,1,360,4
518.4,10.57959,49,1959,0,0,2,1,372,4
895.9,8.870297,101,1918,0,0,2,0,360,4
960.1,12.00125,80,1929,0,0,2,1,421,4
590.7,16.87714,35,1929,0,0,2,1,372,4
725.4,5.256522,138,1918,0,0,2,1,133,1
1317.5,15.68452,84,1918,0,0,2,1,360,4
329.5,10.98333,30,1970,0,0,1,1,2513,25
910,15.68966,58,1970,0,0,2,1,2526,25
537.4,6.322353,85,1964,0,0,2,1,2524,25
881.4,17.628,50,1957.5,0,0,2,1,2012,20
348.7,6.226786,56,1956,0,0,1,0,2522,25
735.1,11.85645,62,1962,0,0,2,1,2523,25
693.6,13.33846,52,1969,0,0,1,1,2522,25
659.1,10.29844,64,1963,0,0,2,1,2526,25
385.6,17.52727,22,1958,0,0,1,1,2514,25
973,11.31395,86,1962,0,0,1,1,2513,25
469.1,9.021154,52,1960,0,0,2,0,2526,25
1027.6,20.14902,51,1971,0,0,1,1,1615,16
328.1,5.468333,60,1939,0,0,1,1,1714,17
718.7,13.30926,54,1959,0,0,1,1,1714,17
673.5,14.32979,47,1971,0,0,1,1,1713,17
364.1,7.585417,48,1918,0,0,1,0,1711,17
1558.2,18.55,84,1970,0,0,1,1,1713,17
729,14.58,50,1957.5,0,0,2,1,563,6
255.1,5.206122,49,1953,0,0,1,1,1712,17
795.5,14.46364,55,1957.5,0,0,1,1,1713,17
870.9,15.01552,58,1971,0,0,2,1,1851,19
1047.4,16.36563,64,1972,0,0,1,1,1957,20
1113.7,15.91,70,1940,0,0,2,1,732,7
693.7,11.01111,63,1961,0,0,1,1,1926,19
1361.8,16.02118,85,1970,0,0,2,1,1935,19
592.8,13.17333,45,1972,0,0,2,1,1957,20
426.5,8.53,50,1965,0,0,2,1,1933,19
1224.9,20.415,60,1992,0,1,1,1,622,6
500.5,7.820313,64,1929,0,0,1,1,1912,19
809.1,10.93378,74,1957.5,0,0,1,1,623,6
434,14.46667,30,1956,0,0,1,1,624,6
1028.1,13.52763,76,1971,0,0,1,1,724,7
774.9,15.498,50,1929,0,0,1,1,623,6
995,15.54688,64,1972,0,0,1,1,723,7
377,6.854546,55,1939,0,0,2,1,532,5
471.6,5.96962,79,1918,0,0,2,0,522,5
1725.4,12.59416,137,1918,1,0,1,1,163,2
1278.1,8.814483,145,1929,1,0,2,1,163,2
988.9,17.65893,56,1957.5,0,0,1,0,522,5
909.1,8.912745,102,1918,0,0,2,0,153,2
625.5,18.39706,34,1971,0,0,1,1,163,2
510.2,17.00667,30,1918,0,0,1,1,611,6
843.4,13.17813,64,1972,0,0,1,1,1944,19
716.9,12.15085,59,1973,0,0,2,1,711,7
1254.5,16.29221,77,1957,0,0,2,1,2026,20
933.4,16.97091,55,1957.5,0,0,1,1,611,6
839.7,19.08409,44,1984,0,0,2,1,1943,19
397.1,8.104082,49,1918,0,0,2,0,541,5
1053.6,21.95,48,1955,0,0,1,1,1363,14
802.2,14.325,56,1969,0,0,1,1,1642,16
2676.4,17.2671,155,1918,0,0,2,1,163,2
809.3,6.858474,118,1918,0,0,1,0,163,2
706.8,9.954929,71,1956,0,0,2,1,152,2
1922.5,12.01563,160,1918,0,0,2,1,383,4
681.6,18.93333,36,1959,0,0,2,1,350,4
829.9,8.923656,93,1918,0,0,1,0,623,6
1139.4,18.08571,63,1991,0,0,1,1,714,7
1124.8,12.6382,89,1960,0,0,2,1,411,4
535.7,7.995522,67,1918,0,0,2,0,426,4
1386.9,23.50678,59,1924,0,0,2,1,411,4
1300,20.63492,63,1957.5,0,0,2,1,426,4
1217.3,15.80909,77,1972,1,1,1,1,2314,23
1469.7,16.70114,88,1964,0,0,1,1,962,10
367.6,5.251429,70,1957.5,0,0,1,1,914,9
663.2,11.63509,57,1939,0,0,1,1,963,10
1693.3,34.55714,49,1988,0,0,2,1,964,10
600,18.18182,33,1939,0,0,1,1,963,10
926.6,10.52954,88,1983,0,0,1,1,1642,16
1215.1,15.57821,78,1955,0,1,1,1,1363,14
1019.9,13.41974,76,1977,0,0,1,1,1363,14
1153.2,11.30588,102,1970,0,0,1,1,1375,14
788.3,10.6527,74,1970,0,0,1,1,1402,14
857.5,13.39844,64,1958,0,0,1,1,2132,21
1194.9,21.72545,55,1983,0,0,1,1,2221,22
813.2,11.13973,73,1969,0,0,1,1,2221,22
1257.3,19.34308,65,1967,0,0,1,1,2514,25
1510.3,15.41123,98,1966,0,0,1,1,2221,22
814.5,14.80909,55,1955,0,1,1,1,1123,11
914.7,8.315454,110,1955,1,0,1,1,1111,11
2458,23.63461,104,1918,0,0,1,1,242,2
725.2,8.953087,81,1939,0,0,2,1,233,2
793.8,10.17692,78,1936,0,0,2,1,233,2
694.7,19.84857,35,1958,0,0,2,1,350,4
337.3,7.495555,45,1939,0,0,2,1,415,4
946.4,17.20727,55,1972,0,0,2,1,425,4
1237.2,16.496,75,1973,0,0,2,1,1544,15
1033.2,24.6,42,1983,0,0,1,1,1512,15
1286.9,17.15867,75,1955,0,0,2,1,2123,21
611,8.985294,68,1965,0,0,1,1,422,4
416,18.90909,22,1970,0,0,1,1,2513,25
297.3,5.038983,59,1952,0,0,1,0,2522,25
1268.8,22.25965,57,1972,0,0,2,1,2526,25
834.7,12.0971,69,1963,0,0,2,1,2526,25
736.6,11.16061,66,1963,0,0,2,1,563,6
814,8.568421,95,1929,0,0,1,1,1711,17
1777.5,16.45833,108,1989,0,0,1,1,563,6
564.9,9.415,60,1950,0,0,1,0,552,6
601.9,19.41613,31,1929,0,0,1,1,1812,18
1719.9,13.23,130,1918,0,0,1,1,552,6
940.7,16.79821,56,1957.5,0,0,2,1,563,6
769.2,17.48182,44,1973,1,0,1,1,2322,23
533.2,9.193104,58,1930,1,0,1,1,916,9
496.2,11.81429,42,1974,0,0,2,1,914,9
475.6,6.097436,78,1918,0,0,2,0,961,10
360.4,7.208,50,1929,0,0,2,0,914,9
1308.2,17.67838,74,1959,0,1,2,1,411,4
1339.3,12.87788,104,1957,0,0,2,1,414,4
1200.9,20.70517,58,1959,0,0,2,1,1261,13
936.1,10.40111,90,1957.5,0,1,2,1,414,4
1783.5,18.57813,96,1929,0,0,2,1,414,4
1137.2,18.05079,63,1939,0,0,2,1,411,4
628.7,10.83965,58,1956,0,0,2,1,411,4
989.4,14.55,68,1918,0,0,2,1,411,4
1151.3,17.71231,65,1957.5,0,0,2,1,412,4
1376.3,17.20375,80,1929,0,0,2,1,914,9
888.2,16.14909,55,1929,0,0,2,1,942,9
462.5,13.21429,35,1975,0,1,1,1,713,7
742.3,8.435227,88,1929,0,0,2,0,941,9
761.3,8.95647,85,1958,0,0,2,1,425,4
673.5,16.03572,42,1952,0,0,1,1,1236,12
2113.4,22.01458,96,1918,1,0,2,1,1242,12
965.4,14.19706,68,1972,0,0,1,1,422,4
2097.5,19.06818,110,1939,1,0,1,1,1313,13
850.3,11.97606,71,1918,0,0,2,1,231,2
1235.7,11.44167,108,1918,0,0,2,1,231,2
1028.4,11.17826,92,1972,0,0,1,1,1342,13
